referrer,views_total,views_unique
github.com,168,17
jonescompneurolab.github.io,42,8
neurostars.org,16,6
Google,16,6
com.google.android.gm,7,2
chatgpt.com,5,3
hnn.brown.edu,5,1
joss.theoj.org,3,1
mne.discourse.group,2,1
summerofcode.withgoogle.com,1,1
