time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-01 00:00:00+00:00,2,1,1,1
2026-02-02 00:00:00+00:00,0,0,7,7
2026-02-03 00:00:00+00:00,3,3,2,2
2026-02-04 00:00:00+00:00,0,0,3,3
2026-02-05 00:00:00+00:00,4,3,5,2
2026-02-06 00:00:00+00:00,1,1,3,3
2026-02-07 00:00:00+00:00,2,2,3,3
2026-02-08 00:00:00+00:00,1,1,5,3
2026-02-09 00:00:00+00:00,26,3,4,3
2026-02-10 00:00:00+00:00,2,2,11,6
2026-02-11 00:00:00+00:00,1,1,1,1
2026-02-12 00:00:00+00:00,25,2,3,3
2026-02-13 00:00:00+00:00,2,1,2,2
2026-02-14 00:00:00+00:00,3,2,5,4
