time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-11 00:00:00+00:00,32.0,4.0,321,8
2023-10-12 00:00:00+00:00,,,9,2
2023-10-13 00:00:00+00:00,1.0,1.0,68,1
2023-10-14 00:00:00+00:00,,,1,1
2023-10-16 00:00:00+00:00,1.0,1.0,18,2
2023-10-17 00:00:00+00:00,1.0,1.0,43,2
2023-10-18 00:00:00+00:00,5.0,2.0,39,5
2023-10-19 00:00:00+00:00,7.0,1.0,42,3
2023-10-20 00:00:00+00:00,11.0,2.0,68,4
2023-10-21 00:00:00+00:00,,,38,2
2023-10-22 00:00:00+00:00,1.0,1.0,1,1
2023-10-23 00:00:00+00:00,3.0,2.0,55,1
2023-10-24 00:00:00+00:00,5.0,2.0,19,2
