time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,10,7,2,2
2026-07-05 00:00:00+00:00,7,6,3,3
2026-07-06 00:00:00+00:00,7,5,3,3
2026-07-07 00:00:00+00:00,3,2,3,3
2026-07-08 00:00:00+00:00,8,6,2,2
2026-07-09 00:00:00+00:00,7,6,3,3
2026-07-10 00:00:00+00:00,14,10,0,0
2026-07-11 00:00:00+00:00,14,9,6,4
2026-07-12 00:00:00+00:00,16,12,2,2
2026-07-13 00:00:00+00:00,11,7,2,2
2026-07-14 00:00:00+00:00,7,5,1,1
2026-07-15 00:00:00+00:00,4,3,3,2
2026-07-16 00:00:00+00:00,6,4,1,1
2026-07-17 00:00:00+00:00,9,6,6,4
