time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-24 00:00:00+00:00,11,8,4,2
2026-05-25 00:00:00+00:00,12,9,4,1
2026-05-26 00:00:00+00:00,14,11,5,3
2026-05-27 00:00:00+00:00,13,7,3,3
2026-05-28 00:00:00+00:00,43,34,2,2
2026-05-29 00:00:00+00:00,26,15,4,2
2026-05-30 00:00:00+00:00,23,20,2,2
2026-05-31 00:00:00+00:00,15,10,7,4
2026-06-01 00:00:00+00:00,2,1,4,4
2026-06-02 00:00:00+00:00,13,4,4,3
2026-06-03 00:00:00+00:00,8,6,0,0
2026-06-04 00:00:00+00:00,8,6,3,1
2026-06-05 00:00:00+00:00,9,4,0,0
2026-06-06 00:00:00+00:00,4,3,2,2
