time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-10 00:00:00+00:00,2,2,11,6
2026-02-11 00:00:00+00:00,1,1,1,1
2026-02-12 00:00:00+00:00,25,2,3,3
2026-02-13 00:00:00+00:00,2,1,2,2
2026-02-14 00:00:00+00:00,3,2,5,4
2026-02-15 00:00:00+00:00,6,5,0,0
2026-02-16 00:00:00+00:00,2,1,5,2
2026-02-17 00:00:00+00:00,2,1,5,5
2026-02-18 00:00:00+00:00,2,2,21,7
2026-02-19 00:00:00+00:00,2,1,2,2
2026-02-20 00:00:00+00:00,5,4,9,6
2026-02-21 00:00:00+00:00,5,4,3,3
2026-02-22 00:00:00+00:00,3,2,1,1
2026-02-23 00:00:00+00:00,3,2,4,4
