time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-09 00:00:00+00:00,1.0,1.0,7,4
2023-02-10 00:00:00+00:00,,,5,2
2023-02-12 00:00:00+00:00,,,1,1
2023-02-13 00:00:00+00:00,,,3,3
2023-02-14 00:00:00+00:00,1.0,1.0,8,5
2023-02-15 00:00:00+00:00,2.0,1.0,19,7
2023-02-16 00:00:00+00:00,1.0,1.0,5,3
2023-02-17 00:00:00+00:00,,,4,1
2023-02-18 00:00:00+00:00,,,8,2
2023-02-19 00:00:00+00:00,,,3,2
2023-02-20 00:00:00+00:00,,,7,2
2023-02-21 00:00:00+00:00,3.0,2.0,4,3
2023-02-22 00:00:00+00:00,,,2,1
