time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,4,3,4,1
2026-04-24 00:00:00+00:00,7,5,3,3
2026-04-25 00:00:00+00:00,45,30,1,1
2026-04-26 00:00:00+00:00,4,2,5,4
2026-04-27 00:00:00+00:00,4,2,3,2
2026-04-28 00:00:00+00:00,52,31,2,2
2026-04-29 00:00:00+00:00,29,25,3,3
2026-04-30 00:00:00+00:00,6,4,6,6
2026-05-01 00:00:00+00:00,4,2,12,10
2026-05-02 00:00:00+00:00,4,3,15,15
2026-05-03 00:00:00+00:00,3,1,12,12
2026-05-04 00:00:00+00:00,3,2,1,1
2026-05-05 00:00:00+00:00,3,1,6,4
2026-05-06 00:00:00+00:00,8,7,2,2
