time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-13 00:00:00+00:00,,,11,4
2024-06-14 00:00:00+00:00,1.0,1.0,1,1
2024-06-15 00:00:00+00:00,,,4,2
2024-06-16 00:00:00+00:00,,,1,1
2024-06-17 00:00:00+00:00,,,2,2
2024-06-18 00:00:00+00:00,38.0,2.0,1,1
2024-06-19 00:00:00+00:00,35.0,3.0,4,4
2024-06-20 00:00:00+00:00,,,3,2
2024-06-21 00:00:00+00:00,,,12,5
2024-06-22 00:00:00+00:00,,,6,2
2024-06-23 00:00:00+00:00,,,3,2
2024-06-24 00:00:00+00:00,1.0,1.0,3,3
2024-06-25 00:00:00+00:00,1.0,1.0,2,2
2024-06-26 00:00:00+00:00,2.0,1.0,11,7
