time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,,,1,1
2025-06-02 00:00:00+00:00,2.0,1.0,38,1
2025-06-03 00:00:00+00:00,,,20,4
2025-06-04 00:00:00+00:00,1.0,1.0,26,9
2025-06-05 00:00:00+00:00,,,13,4
2025-06-06 00:00:00+00:00,2.0,1.0,6,3
2025-06-07 00:00:00+00:00,,,1,1
2025-06-08 00:00:00+00:00,,,1,1
2025-06-09 00:00:00+00:00,,,6,3
2025-06-10 00:00:00+00:00,2.0,2.0,30,8
2025-06-11 00:00:00+00:00,2.0,2.0,32,4
2025-06-12 00:00:00+00:00,6.0,1.0,6,5
2025-06-13 00:00:00+00:00,,,5,4
2025-06-14 00:00:00+00:00,6.0,1.0,3,2
