time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-05 00:00:00+00:00,6,4,4,2
2026-09-06 00:00:00+00:00,8,4,1,1
2026-09-07 00:00:00+00:00,3,1,3,3
2026-09-08 00:00:00+00:00,2,1,7,6
2026-09-09 00:00:00+00:00,3,1,6,3
2026-09-10 00:00:00+00:00,3,2,6,3
2026-09-11 00:00:00+00:00,5,3,6,5
2026-09-12 00:00:00+00:00,8,6,4,2
2026-09-13 00:00:00+00:00,49,5,4,3
2026-09-14 00:00:00+00:00,8,4,4,4
2026-09-15 00:00:00+00:00,12,8,3,3
2026-09-16 00:00:00+00:00,6,3,5,5
2026-09-17 00:00:00+00:00,7,5,8,4
2026-09-18 00:00:00+00:00,20,18,5,4
