time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-14 00:00:00+00:00,,,4,2
2024-10-15 00:00:00+00:00,2.0,1.0,11,8
2024-10-16 00:00:00+00:00,,,3,2
2024-10-17 00:00:00+00:00,2.0,1.0,9,4
2024-10-18 00:00:00+00:00,2.0,1.0,15,6
2024-10-19 00:00:00+00:00,,,3,3
2024-10-20 00:00:00+00:00,,,7,1
2024-10-21 00:00:00+00:00,2.0,1.0,30,6
2024-10-22 00:00:00+00:00,,,1,1
2024-10-23 00:00:00+00:00,,,10,4
2024-10-24 00:00:00+00:00,,,21,11
2024-10-25 00:00:00+00:00,,,31,9
2024-10-26 00:00:00+00:00,,,5,4
2024-10-27 00:00:00+00:00,,,4,2
