time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-30 00:00:00+00:00,23,20,2,2
2026-05-31 00:00:00+00:00,15,10,7,4
2026-06-01 00:00:00+00:00,2,1,4,4
2026-06-02 00:00:00+00:00,13,4,4,3
2026-06-03 00:00:00+00:00,8,6,0,0
2026-06-04 00:00:00+00:00,8,6,3,1
2026-06-05 00:00:00+00:00,9,4,0,0
2026-06-06 00:00:00+00:00,4,3,2,2
2026-06-07 00:00:00+00:00,9,6,2,1
2026-06-08 00:00:00+00:00,3,2,3,3
2026-06-09 00:00:00+00:00,6,4,1,1
2026-06-10 00:00:00+00:00,11,8,1,1
2026-06-11 00:00:00+00:00,12,10,4,3
2026-06-12 00:00:00+00:00,10,6,2,2
