time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-20 00:00:00+00:00,10,7,2,2
2026-08-21 00:00:00+00:00,2,1,7,5
2026-08-22 00:00:00+00:00,6,2,2,1
2026-08-23 00:00:00+00:00,24,4,4,4
2026-08-24 00:00:00+00:00,4,2,15,12
2026-08-25 00:00:00+00:00,5,3,8,7
2026-08-26 00:00:00+00:00,8,2,14,14
2026-08-27 00:00:00+00:00,3,1,9,7
2026-08-28 00:00:00+00:00,4,2,6,5
2026-08-29 00:00:00+00:00,11,6,4,4
2026-08-30 00:00:00+00:00,4,2,1,1
2026-08-31 00:00:00+00:00,6,5,5,4
2026-09-01 00:00:00+00:00,94,36,0,0
2026-09-02 00:00:00+00:00,53,25,2,2
