time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-30 00:00:00+00:00,6,4,6,6
2026-05-01 00:00:00+00:00,4,2,12,10
2026-05-02 00:00:00+00:00,4,3,15,15
2026-05-03 00:00:00+00:00,3,1,12,12
2026-05-04 00:00:00+00:00,3,2,1,1
2026-05-05 00:00:00+00:00,3,1,6,4
2026-05-06 00:00:00+00:00,8,7,2,2
2026-05-07 00:00:00+00:00,8,6,2,2
2026-05-08 00:00:00+00:00,6,5,1,1
2026-05-09 00:00:00+00:00,6,3,1,1
2026-05-10 00:00:00+00:00,9,2,1,1
2026-05-11 00:00:00+00:00,2,1,6,5
2026-05-12 00:00:00+00:00,5,3,1,1
2026-05-13 00:00:00+00:00,3,2,3,3
