time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-02 00:00:00+00:00,53,25,2,2
2026-09-03 00:00:00+00:00,13,11,7,5
2026-09-04 00:00:00+00:00,5,3,0,0
2026-09-05 00:00:00+00:00,6,4,4,2
2026-09-06 00:00:00+00:00,8,4,1,1
2026-09-07 00:00:00+00:00,3,1,3,3
2026-09-08 00:00:00+00:00,2,1,7,6
2026-09-09 00:00:00+00:00,3,1,6,3
2026-09-10 00:00:00+00:00,3,2,6,3
2026-09-11 00:00:00+00:00,5,3,6,5
2026-09-12 00:00:00+00:00,8,6,4,2
2026-09-13 00:00:00+00:00,49,5,4,3
2026-09-14 00:00:00+00:00,8,4,4,4
2026-09-15 00:00:00+00:00,12,8,3,3
