time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-17 00:00:00+00:00,9,7,4.0,3.0
2025-09-18 00:00:00+00:00,18,15,,
2025-09-19 00:00:00+00:00,14,12,13.0,2.0
2025-09-20 00:00:00+00:00,6,3,,
2025-09-21 00:00:00+00:00,5,4,2.0,2.0
2025-09-22 00:00:00+00:00,15,13,3.0,3.0
2025-09-23 00:00:00+00:00,7,7,2.0,2.0
2025-09-24 00:00:00+00:00,10,8,41.0,6.0
2025-09-25 00:00:00+00:00,3,2,4.0,4.0
2025-09-26 00:00:00+00:00,19,10,4.0,3.0
2025-09-27 00:00:00+00:00,4,4,1.0,1.0
2025-09-28 00:00:00+00:00,5,4,2.0,2.0
2025-09-29 00:00:00+00:00,5,5,7.0,1.0
2025-09-30 00:00:00+00:00,4,4,6.0,2.0
