time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-20 00:00:00+00:00,3,3,2,1
2025-10-21 00:00:00+00:00,12,11,5,5
2025-10-22 00:00:00+00:00,14,13,6,6
2025-10-23 00:00:00+00:00,14,9,1,1
2025-10-24 00:00:00+00:00,4,4,8,6
2025-10-25 00:00:00+00:00,6,6,4,3
2025-10-26 00:00:00+00:00,2,2,4,4
2025-10-27 00:00:00+00:00,8,6,6,4
2025-10-28 00:00:00+00:00,17,16,10,4
2025-10-29 00:00:00+00:00,6,6,5,5
2025-10-30 00:00:00+00:00,5,5,11,4
2025-10-31 00:00:00+00:00,4,4,1,1
2025-11-01 00:00:00+00:00,4,4,4,2
2025-11-02 00:00:00+00:00,1,1,4,2
