time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-01 00:00:00+00:00,,,8,3
2023-09-02 00:00:00+00:00,1.0,1.0,2,1
2023-09-04 00:00:00+00:00,,,15,4
2023-09-05 00:00:00+00:00,,,46,3
2023-09-06 00:00:00+00:00,4.0,3.0,23,3
2023-09-07 00:00:00+00:00,1.0,1.0,5,3
2023-09-09 00:00:00+00:00,2.0,1.0,5,3
2023-09-10 00:00:00+00:00,1.0,1.0,1,1
2023-09-11 00:00:00+00:00,1.0,1.0,7,5
2023-09-12 00:00:00+00:00,,,16,3
2023-09-13 00:00:00+00:00,1.0,1.0,9,2
2023-09-14 00:00:00+00:00,4.0,2.0,6,3
