time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,6,4,5,5
2026-08-02 00:00:00+00:00,7,5,28,28
2026-08-03 00:00:00+00:00,3,3,8,8
2026-08-04 00:00:00+00:00,7,5,7,4
2026-08-05 00:00:00+00:00,3,2,3,3
2026-08-06 00:00:00+00:00,4,2,1,1
2026-08-07 00:00:00+00:00,7,5,2,2
2026-08-08 00:00:00+00:00,2,1,3,3
2026-08-09 00:00:00+00:00,5,3,0,0
2026-08-10 00:00:00+00:00,5,3,1,1
2026-08-11 00:00:00+00:00,3,1,14,10
2026-08-12 00:00:00+00:00,3,1,4,4
2026-08-13 00:00:00+00:00,4,3,11,11
2026-08-14 00:00:00+00:00,5,3,12,12
