time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-21 00:00:00+00:00,4,2,2,2
2026-07-22 00:00:00+00:00,2,1,3,3
2026-07-23 00:00:00+00:00,6,3,3,2
2026-07-24 00:00:00+00:00,3,1,2,2
2026-07-25 00:00:00+00:00,5,3,9,6
2026-07-26 00:00:00+00:00,12,7,7,6
2026-07-27 00:00:00+00:00,4,2,0,0
2026-07-28 00:00:00+00:00,66,5,2,2
2026-07-29 00:00:00+00:00,4,3,5,4
2026-07-30 00:00:00+00:00,2,1,3,3
2026-07-31 00:00:00+00:00,4,2,7,7
2026-08-01 00:00:00+00:00,6,4,5,5
2026-08-02 00:00:00+00:00,7,5,28,28
2026-08-03 00:00:00+00:00,3,3,8,8
