time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-13 00:00:00+00:00,3,2,3,3
2026-05-14 00:00:00+00:00,4,2,2,2
2026-05-15 00:00:00+00:00,3,2,2,2
2026-05-16 00:00:00+00:00,5,3,2,2
2026-05-17 00:00:00+00:00,5,4,4,4
2026-05-18 00:00:00+00:00,5,3,0,0
2026-05-19 00:00:00+00:00,3,2,0,0
2026-05-20 00:00:00+00:00,51,8,6,3
2026-05-21 00:00:00+00:00,2,1,12,4
2026-05-22 00:00:00+00:00,4,3,5,3
2026-05-23 00:00:00+00:00,8,6,5,4
2026-05-24 00:00:00+00:00,11,8,4,2
2026-05-25 00:00:00+00:00,12,9,4,1
2026-05-26 00:00:00+00:00,14,11,5,3
