time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-28 00:00:00+00:00,2.0,2.0,3,3
2024-05-29 00:00:00+00:00,2.0,1.0,22,5
2024-05-30 00:00:00+00:00,1.0,1.0,2,1
2024-05-31 00:00:00+00:00,,,20,5
2024-06-02 00:00:00+00:00,1.0,1.0,14,1
2024-06-03 00:00:00+00:00,1.0,1.0,21,4
2024-06-04 00:00:00+00:00,,,113,10
2024-06-05 00:00:00+00:00,1.0,1.0,36,10
2024-06-06 00:00:00+00:00,,,5,5
2024-06-07 00:00:00+00:00,,,31,5
2024-06-08 00:00:00+00:00,,,2,2
2024-06-09 00:00:00+00:00,1.0,1.0,62,5
